Time,PosX,PosY,PosZ,VelX,VelY,VelZ,KineticEnergy
5.9,4.09766,-4.90112,-5.33839,1.29219,-4.41683,-3.43642,17.0353
5.95,4.15103,-5.12666,-5.50834,0.914321,-4.57014,-3.3723,17.0908
6,4.1848,-5.35907,-5.67464,0.5133,-4.69637,-3.29312,17.1267
6.05,4.19789,-5.59688,-5.83651,0.0913679,-4.79165,-3.1977,17.1419
6.1,4.18932,-5.83843,-5.99308,-0.348526,-4.8521,-3.08494,17.1355
6.15,4.15832,-6.08185,-6.14347,-0.802674,-4.87395,-2.95393,17.1067
6.2,4.1043,-6.32511,-6.28675,-1.26658,-4.85369,-2.80399,17.0548
6.25,4.02692,-6.56602,-6.42194,-1.73499,-4.78826,-2.63468,16.9796
6.3,3.92615,-6.80223,-6.54809,-2.20187,-4.67516,-2.44593,16.8808
6.35,3.80225,-7.03132,-6.66423,-2.66059,-4.51268,-2.23799,16.7588
6.4,3.65584,-7.25077,-6.76941,-3.10396,-4.30006,-2.01157,16.6141
6.45,3.48792,-7.4581,-6.86274,-3.52449,-4.03761,-1.76777,16.4478
6.5,3.29986,-7.65085,-6.9434,-3.91456,-3.72685,-1.50817,16.261
6.55,3.0934,-7.82668,-7.01065,-4.2667,-3.37057,-1.23475,16.0557
6.6,2.87065,-7.98343,-7.06389,-4.57387,-2.97283,-0.949921,15.8337
6.65,2.63407,-8.11918,-7.10261,-4.82974,-2.53887,-0.656452,15.5976
6.7,2.38637,-8.23232,-7.12647,-5.02895,-2.07506,-0.357394,15.3501
6.75,2.13052,-8.32155,-7.1353,-5.16733,-1.58862,-0.0560102,15.0941
6.8,1.86965,-8.38599,-7.12908,-5.24212,-1.08745,0.24433,14.8328
6.85,1.60699,-8.42515,-7.10796,-5.25204,-0.579791,0.540249,14.5693
6.9,1.34577,-8.43894,-7.07227,-5.19731,-0.0739521,0.828467,14.3069
6.95,1.08919,-8.4277,-7.02247,-5.07968,0.421984,1.1059,14.0489
7,0.840295,-8.39216,-6.9592,-4.90224,0.900446,1.36976,13.7983
7.05,0.60196,-8.33341,-6.88321,-4.66928,1.3546,1.61759,13.558
7.1,0.376803,-8.25283,-6.79536,-4.38606,1.77854,1.84736,13.3307
7.15,0.16716,-8.15208,-6.69661,-4.05858,2.16741,2.05749,13.1187
7.2,-0.0249489,-8.03305,-6.58797,-3.6933,2.51743,2.24684,12.9241
7.25,-0.197833,-7.89775,-6.47051,-3.2969,2.82596,2.41473,12.7487
7.3,-0.350138,-7.74832,-6.3453,-2.87606,3.09138,2.5609,12.5938
7.35,-0.480835,-7.58692,-6.21343,-2.43724,3.31308,2.68547,12.4605
7.4,-0.589213,-7.41575,-6.07597,-1.98656,3.49127,2.78891,12.3495
7.45,-0.674848,-7.23695,-5.93395,-1.52967,3.62689,2.87201,12.2612
7.5,-0.737586,-7.05261,-5.78836,-1.07164,3.72146,2.93575,12.196
7.55,-0.777506,-6.86472,-5.64014,-0.616966,3.77694,2.98134,12.1537
7.6,-0.794895,-6.67517,-5.49014,-0.169531,3.79563,3.01009,12.134
7.65,-0.790217,-6.48573,-5.33918,0.267381,3.78,3.02343,12.1365
7.7,-0.76408,-6.29802,-5.18798,0.691045,3.73267,3.02281,12.1606
7.75,-0.717216,-6.11357,-5.03718,1.09926,3.65624,3.0097,12.2056
7.8,-0.65045,-5.93375,-4.88738,1.49029,3.55332,2.98557,12.2706
7.85,-0.564684,-5.7598,-4.73908,1.8628,3.42641,2.95184,12.3548
7.9,-0.460873,-5.59285,-4.59271,2.21584,3.27791,2.90986,12.4571
7.95,-0.340013,-5.43392,-4.44866,2.54872,3.11008,2.86093,12.5767
8,-0.203125,-5.2839,-4.30724,2.86104,2.92503,2.80626,12.7125
8.05,-0.0512433,-5.1436,-4.16868,3.15258,2.72471,2.74698,12.8634
8.1,0.11459,-5.01373,-4.03321,3.42328,2.51095,2.68412,13.0284
8.15,0.293336,-4.8949,-3.90096,3.67324,2.2854,2.61865,13.2065
8.2,0.483961,-4.78767,-3.77204,3.90263,2.0496,2.55143,13.3966
8.25,0.685446,-4.69249,-3.64651,4.11171,1.80496,2.48325,13.5977
8.3,0.896783,-4.60978,-3.5244,4.3008,1.55278,2.41481,13.8088
8.35,1.11698,-4.53988,-3.4057,4.47025,1.29425,2.34676,14.0289
8.4,1.34508,-4.48306,-3.29038,4.62044,1.03048,2.27966,14.257
8.45,1.58012,-4.43956,-3.17838,4.75177,0.762506,2.214,14.4921
8.5,1.82116,-4.40956,-3.0696,4.86465,0.491283,2.15024,14.7334
8.55,2.06731,-4.3932,-2.96394,4.95951,0.217717,2.08874,14.9799
8.6,2.31768,-4.39056,-2.86128,5.03677,-0.0573412,2.02985,15.2307
8.65,2.57139,-4.4017,-2.76148,5.09685,-0.333086,1.97386,15.4849
8.7,2.82759,-4.42662,-2.66439,5.14019,-0.608748,1.921,15.7418
8.75,3.08548,-4.46531,-2.56984,5.1672,-0.883597,1.87148,16.0004
8.8,3.34423,-4.5177,-2.47766,5.17831,-1.15693,1.82546,16.2599
8.85,3.60308,-4.58369,-2.38767,5.17396,-1.42807,1.78307,16.5197
8.9,3.86126,-4.66315,-2.29969,5.15458,-1.69637,1.74442,16.7788
8.95,4.11802,-4.75593,-2.21353,5.1206,-1.96121,1.70956,17.0366
9,4.37267,-4.86183,-2.129,5.07247,-2.22199,1.67854,17.2923
9.05,4.62449,-4.98064,-2.0459,5.01063,-2.47813,1.65137,17.5453
9.1,4.87282,-5.11209,-1.96405,4.93553,-2.72907,1.62804,17.7948
9.15,5.11701,-5.25593,-1.88325,4.84762,-2.97428,1.60849,18.0402
9.2,5.35643,-5.41184,-1.80331,4.74737,-3.21326,1.59267,18.2809
9.25,5.59048,-5.57949,-1.72406,4.63524,-3.44552,1.58048,18.5163
9.3,5.81858,-5.75855,-1.64531,4.5117,-3.67059,1.5718,18.7458
9.35,6.04017,-5.94864,-1.56689,4.37723,-3.88806,1.56651,18.9688
9.4,6.25473,-6.14936,-1.48864,4.2323,-4.09751,1.56442,19.1848
9.45,6.46174,-6.3603,-1.41041,4.07738,-4.29856,1.56536,19.3932
9.5,6.66071,-6.58103,-1.33204,3.91297,-4.49085,1.56911,19.5937
9.55,6.85119,-6.81111,-1.2534,3.73952,-4.67407,1.57543,19.7857
9.6,7.03274,-7.05006,-1.17438,3.55751,-4.84791,1.58407,19.9687
9.65,7.20494,-7.29742,-1.09486,3.36742,-5.01209,1.59475,20.1425
9.7,7.36741,-7.5527,-1.01476,3.16969,-5.16638,1.60715,20.3065
9.75,7.51978,-7.81538,-0.933992,2.96477,-5.31055,1.62095,20.4604
9.8,7.66169,-8.08497,-0.852503,2.75312,-5.44441,1.6358,20.6038
9.85,7.79283,-8.36093,-0.770249,2.53517,-5.56777,1.65133,20.7365
9.9,7.9129,-8.64274,-0.687209,2.31132,-5.68048,1.66714,20.8581
9.95,8.02161,-8.92987,-0.60338,2.082,-5.78241,1.68283,20.9683
10,8.11869,-9.22176,-0.518781,1.8476,-5.87342,1.69797,21.0669
10.05,8.20392,-9.51788,-0.433453,1.60851,-5.95341,1.71212,21.1536
10.1,8.27706,-9.81766,-0.34746,1.36511,-6.02226,1.72481,21.2282
10.15,8.33791,-10.1205,-0.260887,1.11779,-6.07988,1.7356,21.2905
10.2,8.38629,-10.426,-0.173845,0.866911,-6.12618,1.74399,21.3403
10.25,8.42202,-10.7334,-0.0864668,0.612857,-6.16106,1.74952,21.3774
10.3,8.44497,-11.0422,0.00108879,0.356011,-6.18441,1.75169,21.4017
10.35,8.455,-11.3518,0.0886401,0.096767,-6.19614,1.75004,21.4131
10.4,8.45201,-11.6616,0.175981,-0.16446,-6.19613,1.74408,21.4114
10.45,8.43591,-11.9711,0.262883,-0.427235,-6.18427,1.73335,21.3965
10.5,8.40664,-12.2797,0.349094,-0.69109,-6.16042,1.7174,21.3685
10.55,8.36415,-12.5867,0.43434,-0.955522,-6.12446,1.69582,21.3272
10.6,8.30844,-12.8915,0.518328,-1.21999,-6.07626,1.66821,21.2726
10.65,8.23952,-13.1936,0.600744,-1.48389,-6.01567,1.6342,21.2048
10.7,8.15744,-13.4922,0.68126,-1.74658,-5.94258,1.59348,21.1238
10.75,8.06228,-13.7868,0.759531,-2.00736,-5.85685,1.54576,21.0296
10.8,7.95415,-14.0767,0.835201,-2.26546,-5.7584,1.49085,20.9224
10.85,7.83323,-14.3614,0.907904,-2.52006,-5.64713,1.42857,20.8024
10.9,7.6997,-14.6401,0.977272,-2.77029,-5.52301,1.35886,20.6696
10.95,7.55381,-14.9122,1.04293,-3.01519,-5.38604,1.28171,20.5245
11,7.39587,-15.177,1.10451,-3.25379,-5.23628,1.19719,20.3672
11.05,7.22621,-15.434,1.16165,-3.48507,-5.07385,1.10546,20.1982
11.1,7.04523,-15.6825,1.21399,-3.70796,-4.89894,1.00679,20.0177
11.15,6.85339,-15.9219,1.26119,-3.92142,-4.71183,0.901527,19.8263
11.2,6.65119,-16.1516,1.30295,-4.12436,-4.51289,0.790105,19.6245
11.25,6.43918,-16.3709,1.33897,-4.31574,-4.30257,0.673064,19.4127
11.3,6.21798,-16.5795,1.36898,-4.49455,-4.08143,0.551026,19.1917
11.35,5.98823,-16.7766,1.39275,-4.65985,-3.85012,0.424697,18.962
11.4,5.75065,-16.962,1.41011,-4.81075,-3.60938,0.294855,18.7244
11.45,5.50598,-17.135,1.42088,-4.94646,-3.36006,0.162341,18.4796
11.5,5.255,-17.2953,1.42497,-5.06633,-3.10305,0.0280477,18.2284
11.55,4.99851,-17.4426,1.42232,-5.16979,-2.83935,-0.107098,17.9716
11.6,4.73736,-17.5765,1.41292,-5.25644,-2.56999,-0.242145,17.71
11.65,4.47238,-17.6968,1.39678,-5.32599,-2.29604,-0.37614,17.4445
11.7,4.20444,-17.8033,1.37401,-5.37833,-2.01861,-0.508139,17.1759
11.75,3.9344,-17.8958,1.34471,-5.41347,-1.7388,-0.637226,16.9052
11.8,3.66312,-17.9743,1.30908,-5.43156,-1.45772,-0.762526,16.6331
11.85,3.39143,-18.0388,1.26731,-5.4329,-1.17644,-0.883222,16.3605
11.9,3.12017,-18.0892,1.21966,-5.41788,-0.895993,-0.998565,16.0883
11.95,2.85014,-18.1256,1.16643,-5.38701,-0.61737,-1.10789,15.8172
12,2.58212,-18.1482,1.10793,-5.34089,-0.341496,-1.2106,15.5481
12.05,2.31684,-18.1571,1.0445,-5.28018,-0.0692269,-1.30622,15.2816
12.1,2.05501,-18.1525,0.976515,-5.20559,0.198652,-1.39435,15.0186
12.15,1.79731,-18.1346,0.904355,-5.11788,0.461431,-1.47469,14.7596
12.2,1.54437,-18.1038,0.828417,-5.01781,0.718475,-1.54706,14.5053
12.25,1.29679,-18.0604,0.749103,-4.90612,0.969222,-1.61135,14.2563
12.3,1.05512,-18.0045,0.666817,-4.78358,1.21318,-1.66755,14.0132
12.35,0.819878,-17.9368,0.581962,-4.6509,1.44991,-1.71574,13.7766
12.4,0.591561,-17.8574,0.494934,-4.50876,1.67905,-1.75608,13.5468
12.45,0.370618,-17.7667,0.406119,-4.35781,1.90025,-1.7888,13.3243
12.5,0.157471,-17.6653,0.315889,-4.19863,2.11325,-1.81419,13.1097
12.55,-0.0474844,-17.5535,0.224599,-4.03177,2.31777,-1.83263,12.9032
12.6,-0.24388,-17.4317,0.132585,-3.85773,2.51359,-1.84452,12.7053
12.65,-0.431369,-17.3003,0.0401619,-3.67697,2.70051,-1.85032,12.5163
12.7,-0.60963,-17.16,-0.0523814,-3.48988,2.87832,-1.85052,12.3365
12.75,-0.778356,-17.0109,-0.144781,-3.29684,3.04682,-1.84565,12.1663
